,nlm,dmmhc,gbc,unsharp
3,0.9991120000000001,0.9990049999999999,0.999035,0.99244
362,0.9925129999999999,0.995035,0.9945719999999999,0.995042
101,0.997182,0.9990049999999999,0.999035,0.996943
427,0.99015,0.997199,0.999035,0.995042
30,0.9991120000000001,0.997199,0.9971209999999999,0.999016
173,0.997182,0.995035,0.9919629999999999,0.99244
181,0.997182,0.991207,0.9971209999999999,0.996943
257,0.994707,0.995035,0.9971209999999999,0.995042
322,0.9925129999999999,0.9990049999999999,0.9919629999999999,0.995042
379,0.9925129999999999,0.991207,0.999035,0.9905940000000001
128,0.997182,0.997199,0.999035,0.99244
10,0.9991120000000001,0.9990049999999999,0.9945719999999999,0.999016
242,0.994707,0.997199,0.993116,0.995042
320,0.9925129999999999,0.9990049999999999,0.9919629999999999,0.999016
490,0.99015,0.991207,0.993116,0.999016
137,0.997182,0.997199,0.9945719999999999,0.995042
20,0.9991120000000001,0.9990049999999999,0.9919629999999999,0.999016
191,0.997182,0.991207,0.993116,0.996943
155,0.997182,0.995035,0.9971209999999999,0.999016
331,0.9925129999999999,0.997199,0.9971209999999999,0.996943
266,0.994707,0.995035,0.993116,0.996943
499,0.99015,0.991207,0.9919629999999999,0.9905940000000001
17,0.9991120000000001,0.9990049999999999,0.993116,0.995042
220,0.994707,0.9990049999999999,0.9919629999999999,0.999016
13,0.9991120000000001,0.9990049999999999,0.9945719999999999,0.99244
95,0.9991120000000001,0.991207,0.9919629999999999,0.999016
240,0.994707,0.997199,0.993116,0.999016
168,0.997182,0.995035,0.993116,0.99244
284,0.994707,0.991207,0.9971209999999999,0.9905940000000001
167,0.997182,0.995035,0.993116,0.995042
97,0.9991120000000001,0.991207,0.9919629999999999,0.995042
227,0.994707,0.997199,0.999035,0.995042
58,0.9991120000000001,0.995035,0.9971209999999999,0.99244
313,0.9925129999999999,0.9990049999999999,0.9945719999999999,0.99244
261,0.994707,0.995035,0.9945719999999999,0.996943
23,0.9991120000000001,0.9990049999999999,0.9919629999999999,0.99244
382,0.9925129999999999,0.991207,0.9971209999999999,0.995042
186,0.997182,0.991207,0.9945719999999999,0.996943
435,0.99015,0.997199,0.9945719999999999,0.999016
314,0.9925129999999999,0.9990049999999999,0.9945719999999999,0.9905940000000001
134,0.997182,0.997199,0.9971209999999999,0.9905940000000001
467,0.99015,0.995035,0.993116,0.995042
55,0.9991120000000001,0.995035,0.9971209999999999,0.999016
423,0.99015,0.9990049999999999,0.9919629999999999,0.99244
94,0.9991120000000001,0.991207,0.993116,0.9905940000000001
402,0.99015,0.9990049999999999,0.999035,0.995042
216,0.994707,0.9990049999999999,0.993116,0.996943
135,0.997182,0.997199,0.9945719999999999,0.999016
429,0.99015,0.997199,0.999035,0.9905940000000001
236,0.994707,0.997199,0.9945719999999999,0.996943
175,0.997182,0.991207,0.999035,0.999016
56,0.9991120000000001,0.995035,0.9971209999999999,0.996943
254,0.994707,0.995035,0.999035,0.9905940000000001
364,0.9925129999999999,0.995035,0.9945719999999999,0.9905940000000001
491,0.99015,0.991207,0.993116,0.996943
471,0.99015,0.995035,0.9919629999999999,0.996943
38,0.9991120000000001,0.997199,0.9945719999999999,0.99244
6,0.9991120000000001,0.9990049999999999,0.9971209999999999,0.996943
224,0.994707,0.9990049999999999,0.9919629999999999,0.9905940000000001
316,0.9925129999999999,0.9990049999999999,0.993116,0.996943
290,0.994707,0.991207,0.993116,0.999016
154,0.997182,0.995035,0.999035,0.9905940000000001
84,0.9991120000000001,0.991207,0.9971209999999999,0.9905940000000001
228,0.994707,0.997199,0.999035,0.99244
473,0.99015,0.995035,0.9919629999999999,0.99244
461,0.99015,0.995035,0.9945719999999999,0.996943
201,0.994707,0.9990049999999999,0.999035,0.996943
2,0.9991120000000001,0.9990049999999999,0.999035,0.995042
223,0.994707,0.9990049999999999,0.9919629999999999,0.99244
277,0.994707,0.991207,0.999035,0.995042
174,0.997182,0.995035,0.9919629999999999,0.9905940000000001
455,0.99015,0.995035,0.9971209999999999,0.999016
208,0.994707,0.9990049999999999,0.9971209999999999,0.99244
179,0.997182,0.991207,0.999035,0.9905940000000001
422,0.99015,0.9990049999999999,0.9919629999999999,0.995042
79,0.9991120000000001,0.991207,0.999035,0.9905940000000001
369,0.9925129999999999,0.995035,0.993116,0.9905940000000001
65,0.9991120000000001,0.995035,0.993116,0.999016
198,0.997182,0.991207,0.9919629999999999,0.99244
335,0.9925129999999999,0.997199,0.9945719999999999,0.999016
233,0.994707,0.997199,0.9971209999999999,0.99244
207,0.994707,0.9990049999999999,0.9971209999999999,0.995042
75,0.9991120000000001,0.991207,0.999035,0.999016
349,0.9925129999999999,0.997199,0.9919629999999999,0.9905940000000001
336,0.9925129999999999,0.997199,0.9945719999999999,0.996943
185,0.997182,0.991207,0.9945719999999999,0.999016
111,0.997182,0.9990049999999999,0.9945719999999999,0.996943
200,0.994707,0.9990049999999999,0.999035,0.999016
354,0.9925129999999999,0.995035,0.999035,0.9905940000000001
163,0.997182,0.995035,0.9945719999999999,0.99244
121,0.997182,0.9990049999999999,0.9919629999999999,0.996943
161,0.997182,0.995035,0.9945719999999999,0.996943
166,0.997182,0.995035,0.993116,0.996943
347,0.9925129999999999,0.997199,0.9919629999999999,0.995042
71,0.9991120000000001,0.995035,0.9919629999999999,0.996943
365,0.9925129999999999,0.995035,0.993116,0.999016
34,0.9991120000000001,0.997199,0.9971209999999999,0.9905940000000001
390,0.9925129999999999,0.991207,0.993116,0.999016
73,0.9991120000000001,0.995035,0.9919629999999999,0.99244
178,0.997182,0.991207,0.999035,0.99244
0,0.9991120000000001,0.9990049999999999,0.999035,0.999016
59,0.9991120000000001,0.995035,0.9971209999999999,0.9905940000000001
263,0.994707,0.995035,0.9945719999999999,0.99244
477,0.99015,0.991207,0.999035,0.995042
74,0.9991120000000001,0.995035,0.9919629999999999,0.9905940000000001
205,0.994707,0.9990049999999999,0.9971209999999999,0.999016
463,0.99015,0.995035,0.9945719999999999,0.99244
89,0.9991120000000001,0.991207,0.9945719999999999,0.9905940000000001
403,0.99015,0.9990049999999999,0.999035,0.99244
112,0.997182,0.9990049999999999,0.9945719999999999,0.995042
350,0.9925129999999999,0.995035,0.999035,0.999016
196,0.997182,0.991207,0.9919629999999999,0.996943
371,0.9925129999999999,0.995035,0.9919629999999999,0.996943
197,0.997182,0.991207,0.9919629999999999,0.995042
83,0.9991120000000001,0.991207,0.9971209999999999,0.99244
