nlm,dmmhc,gbc,unsharp,combined
0.999112,0.997199,0.991963,0.999016,0.985758
0.999112,0.997199,0.991963,0.996943,0.98351
0.999112,0.997199,0.991963,0.995042,0.980068
0.999112,0.997199,0.991963,0.99244,0.980068
0.999112,0.997199,0.991963,0.990594,0.970874
0.999112,0.995035,0.999035,0.999016,0.990244
0.999112,0.995035,0.999035,0.996943,0.988198
0.999112,0.995035,0.999035,0.995042,0.984705
0.999112,0.995035,0.999035,0.99244,0.984705
0.999112,0.995035,0.999035,0.990594,0.97535
0.999112,0.995035,0.997121,0.999016,0.987229
0.999112,0.995035,0.997121,0.996943,0.985219
0.999112,0.995035,0.997121,0.995042,0.981651
0.999112,0.995035,0.997121,0.99244,0.981651
0.999112,0.995035,0.997121,0.990594,0.97213
0.999112,0.995035,0.994572,0.999016,0.984452
0.999112,0.995035,0.994572,0.996943,0.982544
0.999112,0.995035,0.994572,0.995042,0.97935
0.999112,0.995035,0.994572,0.99244,0.97935
0.999112,0.995035,0.994572,0.990594,0.970177
0.999112,0.995035,0.993116,0.999016,0.982523
0.999112,0.995035,0.993116,0.996943,0.980571
0.999112,0.995035,0.993116,0.995042,0.97738
0.999112,0.995035,0.993116,0.99244,0.97738
0.999112,0.995035,0.993116,0.990594,0.967858
0.999112,0.995035,0.991963,0.999016,0.981531
0.999112,0.995035,0.991963,0.996943,0.979605
0.999112,0.995035,0.991963,0.995042,0.976381
0.999112,0.995035,0.991963,0.99244,0.976381
0.999112,0.995035,0.991963,0.990594,0.966748
0.999112,0.991207,0.999035,0.999016,0.986156
0.999112,0.991207,0.999035,0.996943,0.984116
0.999112,0.991207,0.999035,0.995042,0.980613
0.999112,0.991207,0.999035,0.99244,0.980613
0.999112,0.991207,0.999035,0.990594,0.971142
0.999112,0.991207,0.997121,0.999016,0.983342
0.999112,0.991207,0.997121,0.996943,0.981325
0.999112,0.991207,0.997121,0.995042,0.977978
0.999112,0.991207,0.997121,0.99244,0.977978
0.999112,0.991207,0.997121,0.990594,0.968422
0.999112,0.991207,0.994572,0.999016,0.980461
0.999112,0.991207,0.994572,0.996943,0.978546
0.999112,0.991207,0.994572,0.995042,0.975363
0.999112,0.991207,0.994572,0.99244,0.975363
0.999112,0.991207,0.994572,0.990594,0.966001
0.999112,0.991207,0.993116,0.999016,0.978741
0.999112,0.991207,0.993116,0.996943,0.976846
0.999112,0.991207,0.993116,0.995042,0.973625
0.999112,0.991207,0.993116,0.99244,0.973625
0.999112,0.991207,0.993116,0.990594,0.964083
0.999112,0.991207,0.991963,0.999016,0.977065
0.999112,0.991207,0.991963,0.996943,0.975199
0.999112,0.991207,0.991963,0.995042,0.971912
0.999112,0.991207,0.991963,0.99244,0.971549
0.999112,0.991207,0.991963,0.990594,0.962273
0.997182,0.999005,0.999035,0.999016,0.992326
0.997182,0.999005,0.999035,0.996943,0.990168
0.997182,0.999005,0.999035,0.995042,0.986716
0.997182,0.999005,0.999035,0.99244,0.986258
0.997182,0.999005,0.999035,0.990594,0.977819
0.997182,0.999005,0.997121,0.999016,0.989416
0.997182,0.999005,0.997121,0.996943,0.987252
0.997182,0.999005,0.997121,0.995042,0.983681
0.997182,0.999005,0.997121,0.99244,0.983681
0.997182,0.999005,0.997121,0.990594,0.974466
0.997182,0.999005,0.994572,0.999016,0.987572
0.997182,0.999005,0.994572,0.996943,0.985608
0.997182,0.999005,0.994572,0.995042,0.982441
0.997182,0.999005,0.994572,0.99244,0.982441
0.997182,0.999005,0.994572,0.990594,0.973812
0.997182,0.999005,0.993116,0.999016,0.985083
0.997182,0.999005,0.993116,0.996943,0.983047
0.997182,0.999005,0.993116,0.995042,0.97985
0.997182,0.999005,0.993116,0.99244,0.97985
0.997182,0.999005,0.993116,0.990594,0.970693
0.997182,0.999005,0.991963,0.999016,0.985083
0.997182,0.999005,0.991963,0.996943,0.983047
0.997182,0.999005,0.991963,0.995042,0.97985
0.997182,0.999005,0.991963,0.99244,0.97985
0.997182,0.999005,0.991963,0.990594,0.970693
0.997182,0.997199,0.999035,0.999016,0.989318
0.997182,0.997199,0.999035,0.996943,0.986714
0.997182,0.997199,0.999035,0.995042,0.982846
0.997182,0.997199,0.999035,0.99244,0.98239
0.997182,0.997199,0.999035,0.990594,0.973604
0.997182,0.997199,0.997121,0.999016,0.98661
0.997182,0.997199,0.997121,0.996943,0.983993
0.997182,0.997199,0.997121,0.995042,0.980041
0.997182,0.997199,0.997121,0.99244,0.979587
0.997182,0.997199,0.997121,0.990594,0.970483
0.997182,0.997199,0.994572,0.999016,0.984688
0.997182,0.997199,0.994572,0.996943,0.982323
0.997182,0.997199,0.994572,0.995042,0.978768
0.997182,0.997199,0.994572,0.99244,0.978768
0.997182,0.997199,0.994572,0.990594,0.969776
0.997182,0.997199,0.993116,0.999016,0.982488
0.997182,0.997199,0.993116,0.996943,0.980015
0.997182,0.997199,0.993116,0.995042,0.976418
0.997182,0.997199,0.993116,0.99244,0.976418
0.997182,0.997199,0.993116,0.990594,0.966934
0.997182,0.997199,0.991963,0.999016,0.982488
0.997182,0.997199,0.991963,0.996943,0.980015
0.997182,0.997199,0.991963,0.995042,0.976418
0.997182,0.997199,0.991963,0.99244,0.976418
0.997182,0.997199,0.991963,0.990594,0.966934
0.997182,0.995035,0.999035,0.999016,0.986872
0.997182,0.995035,0.999035,0.996943,0.984563
0.997182,0.995035,0.999035,0.995042,0.980896
0.997182,0.995035,0.999035,0.99244,0.980441
0.997182,0.995035,0.999035,0.990594,0.971223
0.997182,0.995035,0.997121,0.999016,0.98395
0.997182,0.995035,0.997121,0.996943,0.981652
0.997182,0.995035,0.997121,0.995042,0.977906
0.997182,0.995035,0.997121,0.99244,0.977906
0.997182,0.995035,0.997121,0.990594,0.968109
0.997182,0.995035,0.994572,0.999016,0.981156
0.997182,0.995035,0.994572,0.996943,0.979011
0.997182,0.995035,0.994572,0.995042,0.975653
0.997182,0.995035,0.994572,0.99244,0.975653
0.997182,0.995035,0.994572,0.990594,0.966143
0.997182,0.995035,0.993116,0.999016,0.979345
0.997182,0.995035,0.993116,0.996943,0.977165
0.997182,0.995035,0.993116,0.995042,0.97374
0.997182,0.995035,0.993116,0.99244,0.97374
0.997182,0.995035,0.993116,0.990594,0.963929
0.997182,0.995035,0.991963,0.999016,0.97836
0.997182,0.995035,0.991963,0.996943,0.976198
0.997182,0.995035,0.991963,0.995042,0.972755
0.997182,0.995035,0.991963,0.99244,0.972755
0.997182,0.995035,0.991963,0.990594,0.962814
0.997182,0.991207,0.999035,0.999016,0.982906
0.997182,0.991207,0.999035,0.996943,0.980631
0.997182,0.991207,0.999035,0.995042,0.976891
0.997182,0.991207,0.999035,0.99244,0.976436
0.997182,0.991207,0.999035,0.990594,0.967222
0.997182,0.991207,0.997121,0.999016,0.979723
0.997182,0.991207,0.997121,0.996943,0.977427
0.997182,0.991207,0.997121,0.995042,0.97393
0.997182,0.991207,0.997121,0.99244,0.973478
0.997182,0.991207,0.997121,0.990594,0.964174
0.997182,0.991207,0.994572,0.999016,0.977275
0.997182,0.991207,0.994572,0.996943,0.97511
0.997182,0.991207,0.994572,0.995042,0.971843
0.997182,0.991207,0.994572,0.99244,0.971843
0.997182,0.991207,0.994572,0.990594,0.96231
0.997182,0.991207,0.993116,0.999016,0.974092
0.997182,0.991207,0.993116,0.996943,0.972023
0.997182,0.991207,0.993116,0.995042,0.968589
0.997182,0.991207,0.993116,0.99244,0.968142
0.997182,0.991207,0.993116,0.990594,0.958806
0.997182,0.991207,0.991963,0.999016,0.974092
0.997182,0.991207,0.991963,0.996943,0.972023
0.997182,0.991207,0.991963,0.995042,0.968589
0.997182,0.991207,0.991963,0.99244,0.968142
0.997182,0.991207,0.991963,0.990594,0.958806
0.994707,0.999005,0.999035,0.999016,0.989451
0.994707,0.999005,0.999035,0.996943,0.987106
0.994707,0.999005,0.999035,0.995042,0.983535
0.994707,0.999005,0.999035,0.99244,0.983535
0.994707,0.999005,0.999035,0.990594,0.974487
0.994707,0.999005,0.997121,0.999016,0.986624
0.994707,0.999005,0.997121,0.996943,0.984297
0.994707,0.999005,0.997121,0.995042,0.98061
0.994707,0.999005,0.997121,0.99244,0.98061
0.994707,0.999005,0.997121,0.990594,0.971286
0.994707,0.999005,0.994572,0.999016,0.984734
0.994707,0.999005,0.994572,0.996943,0.982624
0.994707,0.999005,0.994572,0.995042,0.979353
0.994707,0.999005,0.994572,0.99244,0.979353
0.994707,0.999005,0.994572,0.990594,0.970585
0.994707,0.999005,0.993116,0.999016,0.982446
0.994707,0.999005,0.993116,0.996943,0.980226
0.994707,0.999005,0.993116,0.995042,0.9769
0.994707,0.999005,0.993116,0.99244,0.976548
0.994707,0.999005,0.993116,0.990594,0.967595
0.994707,0.999005,0.991963,0.999016,0.982446
0.994707,0.999005,0.991963,0.996943,0.980226
0.994707,0.999005,0.991963,0.995042,0.9769
0.994707,0.999005,0.991963,0.99244,0.976548
0.994707,0.999005,0.991963,0.990594,0.967595
0.994707,0.997199,0.999035,0.999016,0.986245
0.994707,0.997199,0.999035,0.996943,0.983461
0.994707,0.997199,0.999035,0.995042,0.979504
0.994707,0.997199,0.999035,0.99244,0.979504
0.994707,0.997199,0.999035,0.990594,0.970141
0.994707,0.997199,0.997121,0.999016,0.983575
0.994707,0.997199,0.997121,0.996943,0.98079
0.994707,0.997199,0.997121,0.995042,0.976775
0.994707,0.997199,0.997121,0.99244,0.976775
0.994707,0.997199,0.997121,0.990594,0.967145
0.994707,0.997199,0.994572,0.999016,0.981709
0.994707,0.997199,0.994572,0.996943,0.979164
0.994707,0.997199,0.994572,0.995042,0.975532
0.994707,0.997199,0.994572,0.99244,0.975532
0.994707,0.997199,0.994572,0.990594,0.966407
0.994707,0.997199,0.993116,0.999016,0.979584
0.994707,0.997199,0.993116,0.996943,0.976944
0.994707,0.997199,0.993116,0.995042,0.97325
0.994707,0.997199,0.993116,0.99244,0.972897
0.994707,0.997199,0.993116,0.990594,0.963669
0.994707,0.997199,0.991963,0.999016,0.979584
0.994707,0.997199,0.991963,0.996943,0.976944
0.994707,0.997199,0.991963,0.995042,0.97325
0.994707,0.997199,0.991963,0.99244,0.972897
0.994707,0.997199,0.991963,0.990594,0.963669
0.994707,0.995035,0.999035,0.999016,0.98329
0.994707,0.995035,0.999035,0.996943,0.980814
0.994707,0.995035,0.999035,0.995042,0.97704
0.994707,0.995035,0.999035,0.99244,0.97704
0.994707,0.995035,0.999035,0.990594,0.967316
0.994707,0.995035,0.997121,0.999016,0.980281
0.994707,0.995035,0.997121,0.996943,0.977826
0.994707,0.995035,0.997121,0.995042,0.974149
0.994707,0.995035,0.997121,0.99244,0.974149
0.994707,0.995035,0.997121,0.990594,0.96417
0.994707,0.995035,0.994572,0.999016,0.977767
0.994707,0.995035,0.994572,0.996943,0.975441
0.994707,0.995035,0.994572,0.995042,0.971986
0.994707,0.995035,0.994572,0.99244,0.971986
0.994707,0.995035,0.994572,0.990594,0.962329
0.994707,0.995035,0.993116,0.999016,0.974999
0.994707,0.995035,0.993116,0.996943,0.972651
0.994707,0.995035,0.993116,0.995042,0.969137
0.994707,0.995035,0.993116,0.99244,0.968787
0.994707,0.995035,0.993116,0.990594,0.959071
0.994707,0.995035,0.991963,0.999016,0.974999
0.994707,0.995035,0.991963,0.996943,0.972651
0.994707,0.995035,0.991963,0.995042,0.969137
0.994707,0.995035,0.991963,0.99244,0.968787
0.994707,0.995035,0.991963,0.990594,0.959071
0.994707,0.991207,0.999035,0.999016,0.979174
0.994707,0.991207,0.999035,0.996943,0.976725
0.994707,0.991207,0.999035,0.995042,0.972896
0.994707,0.991207,0.999035,0.99244,0.972896
0.994707,0.991207,0.999035,0.990594,0.963085
0.994707,0.991207,0.997121,0.999016,0.976116
0.994707,0.991207,0.997121,0.996943,0.973642
0.994707,0.991207,0.997121,0.995042,0.970043
0.994707,0.991207,0.997121,0.99244,0.970043
0.994707,0.991207,0.997121,0.990594,0.960112
0.994707,0.991207,0.994572,0.999016,0.973762
0.994707,0.991207,0.994572,0.996943,0.97146
0.994707,0.991207,0.994572,0.995042,0.968098
0.994707,0.991207,0.994572,0.99244,0.968098
0.994707,0.991207,0.994572,0.990594,0.958396
0.994707,0.991207,0.993116,0.999016,0.970619
0.994707,0.991207,0.993116,0.996943,0.968367
0.994707,0.991207,0.993116,0.995042,0.964871
0.994707,0.991207,0.993116,0.99244,0.964519
0.994707,0.991207,0.993116,0.990594,0.954924
0.994707,0.991207,0.991963,0.999016,0.970619
0.994707,0.991207,0.991963,0.996943,0.968367
0.994707,0.991207,0.991963,0.995042,0.964871
0.994707,0.991207,0.991963,0.99244,0.964519
0.994707,0.991207,0.991963,0.990594,0.954924
0.992513,0.999005,0.999035,0.999016,0.986467
0.992513,0.999005,0.999035,0.996943,0.983846
0.992513,0.999005,0.999035,0.995042,0.979974
0.992513,0.999005,0.999035,0.99244,0.979616
0.992513,0.999005,0.999035,0.990594,0.97053
0.992513,0.999005,0.997121,0.999016,0.983719
0.992513,0.999005,0.997121,0.996943,0.981075
0.992513,0.999005,0.997121,0.995042,0.977176
0.992513,0.999005,0.997121,0.99244,0.977176
0.992513,0.999005,0.997121,0.990594,0.967533
0.992513,0.999005,0.994572,0.999016,0.981078
0.992513,0.999005,0.994572,0.996943,0.978598
0.992513,0.999005,0.994572,0.995042,0.975143
0.992513,0.999005,0.994572,0.99244,0.975143
0.992513,0.999005,0.994572,0.990594,0.965837
0.992513,0.999005,0.993116,0.999016,0.979583
0.992513,0.999005,0.993116,0.996943,0.977047
0.992513,0.999005,0.993116,0.995042,0.973506
0.992513,0.999005,0.993116,0.99244,0.973153
0.992513,0.999005,0.993116,0.990594,0.963944
0.992513,0.999005,0.991963,0.999016,0.978641
0.992513,0.999005,0.991963,0.996943,0.976135
0.992513,0.999005,0.991963,0.995042,0.972624
0.992513,0.999005,0.991963,0.99244,0.972269
0.992513,0.999005,0.991963,0.990594,0.963001
0.992513,0.997199,0.999035,0.999016,0.983037
0.992513,0.997199,0.999035,0.996943,0.979994
0.992513,0.997199,0.999035,0.995042,0.975797
0.992513,0.997199,0.999035,0.99244,0.975442
0.992513,0.997199,0.999035,0.990594,0.966082
0.992513,0.997199,0.997121,0.999016,0.980382
0.992513,0.997199,0.997121,0.996943,0.977353
0.992513,0.997199,0.997121,0.995042,0.973119
0.992513,0.997199,0.997121,0.99244,0.973119
0.992513,0.997199,0.997121,0.990594,0.963206
0.992513,0.997199,0.994572,0.999016,0.977796
0.992513,0.997199,0.994572,0.996943,0.974915
0.992513,0.997199,0.994572,0.995042,0.971134
0.992513,0.997199,0.994572,0.99244,0.971134
0.992513,0.997199,0.994572,0.990594,0.961582
0.992513,0.997199,0.993116,0.999016,0.976363
0.992513,0.997199,0.993116,0.996943,0.973454
0.992513,0.997199,0.993116,0.995042,0.969585
0.992513,0.997199,0.993116,0.99244,0.969585
0.992513,0.997199,0.993116,0.990594,0.959804
0.992513,0.997199,0.991963,0.999016,0.97538
0.992513,0.997199,0.991963,0.996943,0.972537
0.992513,0.997199,0.991963,0.995042,0.96866
0.992513,0.997199,0.991963,0.99244,0.968309
0.992513,0.997199,0.991963,0.990594,0.958774
0.992513,0.995035,0.999035,0.999016,0.980291
0.992513,0.995035,0.999035,0.996943,0.977524
0.992513,0.995035,0.999035,0.995042,0.973494
