,combined
272,0.969137
312,0.975143
428,0.97554
280,0.976116
76,0.984116
52,0.9847049999999999
387,0.9639120000000001
25,0.9926590000000001
151,0.984563
70,0.9815309999999999
249,0.963669
162,0.9756530000000001
265,0.974999
29,0.977707
442,0.969427
215,0.9824459999999999
359,0.9604450000000001
136,0.982323
393,0.960516
282,0.970043
125,0.989318
374,0.9553879999999999
132,0.9800409999999999
88,0.9753629999999999
239,0.966407
439,0.962723
1,0.993383
80,0.983342
466,0.9700190000000001
386,0.9675879999999999
44,0.970874
171,0.976198
474,0.955628
430,0.979525
319,0.963944
92,0.973625
482,0.967045
448,0.969427
323,0.972269
104,0.9778190000000001
278,0.9728959999999999
356,0.9746600000000001
86,0.9785459999999999
449,0.9600110000000001
147,0.976418
384,0.95565
296,0.968367
11,0.988827
395,0.9670989999999999
446,0.973095
141,0.980015
169,0.963929
484,0.957324
495,0.9671379999999999
342,0.969585
241,0.976944
234,0.967145
408,0.977058
153,0.980441
64,0.9701770000000001
420,0.978492
464,0.958894
438,0.9717319999999999
436,0.975253
480,0.9729469999999999
85,0.980461
7,0.987643
259,0.9641700000000001
158,0.9779059999999999
114,0.9738120000000001
370,0.972023
138,0.9787680000000001
43,0.980068
345,0.9753799999999999
346,0.9725370000000001
253,0.9770399999999999
269,0.9590709999999999
385,0.9701639999999999
230,0.983575
409,0.967949
361,0.9721989999999999
295,0.970619
469,0.9567399999999999
46,0.98351
315,0.979583
117,0.97985
187,0.971843
479,0.959675
182,0.97393
176,0.9806309999999999
363,0.9685309999999999
460,0.9740850000000001
496,0.9649
318,0.973153
440,0.975707
281,0.973642
48,0.980068
27,0.986558
258,0.9741489999999999
91,0.9768459999999999
62,0.97935
15,0.9880760000000001
87,0.9753629999999999
457,0.970636
100,0.992326
50,0.990244
297,0.9648709999999999
231,0.9807899999999999
82,0.977978
411,0.9786729999999999
49,0.970874
337,0.971134
243,0.9728969999999999
306,0.981075
341,0.973454
189,0.96231
307,0.977176
431,0.97678
487,0.9646440000000001
410,0.9807889999999999
485,0.9702129999999999
488,0.9646440000000001
417,0.9730190000000001
415,0.978492
328,0.975442
81,0.981325
327,0.9757969999999999
303,0.9796159999999999
414,0.966844
77,0.980613
238,0.975532
5,0.992856
206,0.984297
462,0.968419
317,0.973506
348,0.968309
246,0.976944
343,0.969585
293,0.964519
406,0.98055
454,0.963623
123,0.97985
294,0.954924
381,0.9696940000000001
250,0.98329
106,0.987252
24,0.9743719999999999
118,0.97985
351,0.977524
404,0.9705239999999999
211,0.9826239999999999
172,0.9727549999999999
190,0.974092
156,0.9816520000000001
232,0.976775
194,0.9588059999999999
68,0.9773799999999999
376,0.9725879999999999
298,0.964519
476,0.9730489999999999
40,0.985758
98,0.971549
416,0.9763059999999999
184,0.964174
63,0.97935
465,0.972369
90,0.978741
96,0.9751989999999999
287,0.9680979999999999
481,0.970566
368,0.96536
164,0.966143
