nlm,unsharp,combined
0.980575,0.917524,0.892502
0.980575,0.907334,0.882274
0.980575,0.902727,0.878377
0.980575,0.902622,0.878282
0.980478,0.991816,0.969096
0.980478,0.989259,0.96408
0.980478,0.987116,0.959683
0.980478,0.98269,0.95937
0.980478,0.980983,0.95937
0.980478,0.980383,0.954457
0.980478,0.977997,0.950044
0.980478,0.975763,0.949703
0.980478,0.960799,0.932078
0.980478,0.960482,0.933211
0.980478,0.959499,0.933011
0.980478,0.95531,0.927127
0.980478,0.954313,0.926132
0.980478,0.947242,0.920553
0.980478,0.946154,0.918166
0.980478,0.938844,0.911027
0.980478,0.937941,0.910165
0.980478,0.935652,0.90682
0.980478,0.928572,0.900657
0.980478,0.927671,0.899792
0.980478,0.924443,0.898756
0.980478,0.924094,0.898467
0.980478,0.91852,0.893009
0.980478,0.918375,0.892737
0.980478,0.917524,0.891972
0.980478,0.907334,0.881694
0.980478,0.902727,0.87765
0.980478,0.902622,0.877387
0.954327,0.991816,0.942507
0.954327,0.989259,0.937552
0.954327,0.987116,0.933603
0.954327,0.98269,0.932765
0.954327,0.980983,0.932765
0.954327,0.980383,0.928589
0.954327,0.977997,0.924442
0.954327,0.975763,0.923833
0.954327,0.960799,0.908294
0.954327,0.960482,0.908187
0.954327,0.959499,0.907967
0.954327,0.95531,0.907172
0.954327,0.954313,0.906845
0.954327,0.947242,0.901173
0.954327,0.946154,0.894998
0.954327,0.938844,0.891254
0.954327,0.937941,0.890728
0.954327,0.935652,0.887446
0.954327,0.928572,0.881016
0.954327,0.927671,0.880475
0.954327,0.924443,0.876956
0.954327,0.924094,0.876807
0.954327,0.91852,0.871763
0.954327,0.918375,0.873589
0.954327,0.917524,0.873162
0.954327,0.907334,0.862833
0.954327,0.902727,0.858854
0.954327,0.902622,0.858559
0.95358,0.991816,0.942507
0.95358,0.989259,0.937552
0.95358,0.987116,0.933603
0.95358,0.98269,0.932765
0.95358,0.980983,0.932765
0.95358,0.980383,0.928589
0.95358,0.977997,0.924442
0.95358,0.975763,0.923833
0.95358,0.960799,0.908294
0.95358,0.960482,0.908187
0.95358,0.959499,0.907967
0.95358,0.95531,0.907172
0.95358,0.954313,0.906845
0.95358,0.947242,0.901173
0.95358,0.946154,0.894998
0.95358,0.938844,0.891254
0.95358,0.937941,0.890728
0.95358,0.935652,0.887446
0.95358,0.928572,0.881016
0.95358,0.927671,0.880475
0.95358,0.924443,0.876956
0.95358,0.924094,0.876807
0.95358,0.91852,0.871763
0.95358,0.918375,0.873589
0.95358,0.917524,0.873162
0.95358,0.907334,0.862833
0.95358,0.902727,0.858854
0.95358,0.902622,0.858559
0.93675,0.991816,0.922219
0.93675,0.989259,0.916784
0.93675,0.987116,0.911887
0.93675,0.98269,0.912319
0.93675,0.980983,0.912319
0.93675,0.980383,0.908221
0.93675,0.977997,0.902796
0.93675,0.975763,0.903848
0.93675,0.960799,0.886069
0.93675,0.960482,0.885804
0.93675,0.959499,0.885563
0.93675,0.95531,0.884376
0.93675,0.954313,0.883971
0.93675,0.947242,0.878559
0.93675,0.946154,0.873235
0.93675,0.938844,0.870102
0.93675,0.937941,0.869774
0.93675,0.935652,0.867355
0.93675,0.928572,0.860636
0.93675,0.927671,0.860299
0.93675,0.924443,0.858268
0.93675,0.924094,0.857934
0.93675,0.91852,0.854629
0.93675,0.918375,0.85536
0.93675,0.917524,0.855004
0.93675,0.907334,0.845582
0.93675,0.902727,0.840552
0.93675,0.902622,0.840254
0.929914,0.991816,0.915067
0.929914,0.989259,0.909645
0.929914,0.987116,0.904296
0.929914,0.98269,0.905243
0.929914,0.980983,0.905243
0.929914,0.980383,0.901298
0.929914,0.977997,0.895535
0.929914,0.975763,0.897022
0.929914,0.960799,0.878813
0.929914,0.960482,0.878597
0.929914,0.959499,0.878362
0.929914,0.95531,0.877298
0.929914,0.954313,0.876939
0.929914,0.947242,0.870816
0.929914,0.946154,0.865964
0.929914,0.938844,0.862823
0.929914,0.937941,0.862475
0.929914,0.935652,0.860734
0.929914,0.928572,0.853775
0.929914,0.927671,0.853425
0.929914,0.924443,0.852159
0.929914,0.924094,0.852018
0.929914,0.91852,0.849157
0.929914,0.918375,0.848933
0.929914,0.917524,0.848553
0.929914,0.907334,0.839586
0.929914,0.902727,0.835332
0.929914,0.902622,0.834902
0.914975,0.991816,0.899527
0.914975,0.989259,0.894109
0.914975,0.987116,0.888492
0.914975,0.98269,0.889963
0.914975,0.980983,0.889963
0.914975,0.980383,0.886428
0.914975,0.977997,0.880501
0.914975,0.975763,0.882519
0.914975,0.960799,0.864019
0.914975,0.960482,0.863653
0.914975,0.959499,0.863415
0.914975,0.95531,0.862284
0.914975,0.954313,0.86193
0.914975,0.947242,0.857367
0.914975,0.946154,0.85345
0.914975,0.938844,0.85024
0.914975,0.937941,0.849893
0.914975,0.935652,0.848058
0.914975,0.928572,0.841588
0.914975,0.927671,0.841235
0.914975,0.924443,0.840001
0.914975,0.924094,0.839857
0.914975,0.91852,0.836428
0.914975,0.918375,0.836631
0.914975,0.917524,0.836222
0.914975,0.907334,0.827619
0.914975,0.902727,0.824124
0.914975,0.902622,0.823646
